G/I Plant 코드,G/I Plant 명,Actual Plant 코드,Actual Plant 명,광역도시,시군구,거리,기준운반비,Shipment No.
,,,,,,,,
1120,대전공장,11R2,평택RDC,경기도,광주시,130 km,"244,000",1004990648
1120,대전공장,11R2,평택RDC,경기도,광주시,130 km,"244,000",1005003527
1120,대전공장,11R2,평택RDC,경기도,광주시,130 km,"309,000",1005198724
1120,대전공장,11R2,평택RDC,경기도,광주시,130 km,"309,000",1005213529
1120,대전공장,11R2,평택RDC,경기도,남양주시,160 km,"251,460",1004992633
1120,대전공장,11R2,평택RDC,경기도,수원시 팔달구,130 km,"222,000",1005201074
1120,대전공장,11R2,평택RDC,경기도,수원시 팔달구,130 km,"274,000",1004993493
1120,대전공장,11R2,평택RDC,경기도,안산시 상록구,140 km,"258,390",1004992634
1120,대전공장,11R2,평택RDC,경기도,안산시 상록구,140 km,"273,000",1004990647
1120,대전공장,11R2,평택RDC,경기도,안산시 상록구,140 km,"276,000",1005201001
1120,대전공장,11R2,평택RDC,경기도,안산시 상록구,140 km,"276,000",1005203176
1120,대전공장,11R2,평택RDC,경기도,안산시 상록구,140 km,"276,000",1005220224
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"230,670",1004999571
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"230,670",1005002576
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"230,670",1005004568
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"233,000",1004989455
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"243,000",1004991836
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"243,000",1004999777
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"308,000",1004990690
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"308,000",1004992452
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"308,000",1004996490
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"308,000",1004997465
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005195833
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005200508
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005202702
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005204400
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005205592
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005208561
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005211298
1120,대전공장,11R2,평택RDC,경기도,안성시,90 km,"314,000",1005212518
