날짜,RDC,트럭,1회전_Shipment,1회전_광역도시,1회전_시군구,1회전_수량,1회전_상차시작,1회전_도착,1회전_소요분,갭_분,2회전_Shipment,2회전_광역도시,2회전_시군구,2회전_수량,2회전_상차시작,2회전_도착,2회전_소요분,총소요분
2025-02-01,칠곡RDC,3.5T,1004989104,경상남도,진주시,2,08:04,10:40,156,71,1004989168,대구광역시,중구,4,11:51,12:41,50,277
2025-02-01,칠곡RDC,3.5T,1004989104,경상남도,진주시,2,08:04,10:40,156,158,1004989194,부산광역시,연제구,2,13:18,16:25,186,500
2025-02-01,칠곡RDC,3.5T,1004989104,경상남도,진주시,2,08:04,10:40,156,168,1004989177,경상북도,구미시,6,13:28,14:49,81,405
2025-02-01,칠곡RDC,3.5T,1004989104,경상남도,진주시,2,08:04,10:40,156,174,1004989212,대구광역시,달성군,4,13:34,15:14,100,430
2025-02-01,칠곡RDC,3.5T,1004989104,경상남도,진주시,2,08:04,10:40,156,202,1004989146,대구광역시,북구,2,14:02,15:16,74,432
2025-02-01,칠곡RDC,3.5T,1004989125,경상북도,의성군,4,08:30,12:28,238,60,1004989177,경상북도,구미시,6,13:28,14:49,81,379
2025-02-01,칠곡RDC,3.5T,1004989125,경상북도,의성군,4,08:30,12:28,238,66,1004989212,대구광역시,달성군,4,13:34,15:14,100,404
2025-02-01,칠곡RDC,3.5T,1004989125,경상북도,의성군,4,08:30,12:28,238,94,1004989146,대구광역시,북구,2,14:02,15:16,74,406
2025-02-01,칠곡RDC,3.5T,1004989125,경상북도,의성군,4,08:30,12:28,238,157,1004989220,대구광역시,북구,4,15:06,16:59,113,508
2025-02-01,칠곡RDC,3.5T,1004989187,경상북도,영천시,2,08:39,11:31,172,107,1004989194,부산광역시,연제구,2,13:18,16:25,186,466
2025-02-01,칠곡RDC,3.5T,1004989187,경상북도,영천시,2,08:39,11:31,172,117,1004989177,경상북도,구미시,6,13:28,14:49,81,370
2025-02-01,칠곡RDC,3.5T,1004989187,경상북도,영천시,2,08:39,11:31,172,123,1004989212,대구광역시,달성군,4,13:34,15:14,100,395
2025-02-01,칠곡RDC,3.5T,1004989187,경상북도,영천시,2,08:39,11:31,172,151,1004989146,대구광역시,북구,2,14:02,15:16,74,397
2025-02-01,칠곡RDC,3.5T,1004989187,경상북도,영천시,2,08:39,11:31,172,214,1004989220,대구광역시,북구,4,15:06,16:59,113,500
2025-02-01,칠곡RDC,3.5T,1004989178,경상남도,거창군,6,08:51,12:14,203,64,1004989194,부산광역시,연제구,2,13:18,16:25,186,454
2025-02-01,칠곡RDC,3.5T,1004989178,경상남도,거창군,6,08:51,12:14,203,75,1004989177,경상북도,구미시,6,13:28,14:49,81,358
2025-02-01,칠곡RDC,3.5T,1004989178,경상남도,거창군,6,08:51,12:14,203,81,1004989212,대구광역시,달성군,4,13:34,15:14,100,383
2025-02-01,칠곡RDC,3.5T,1004989178,경상남도,거창군,6,08:51,12:14,203,109,1004989146,대구광역시,북구,2,14:02,15:16,74,385
2025-02-01,칠곡RDC,3.5T,1004989178,경상남도,거창군,6,08:51,12:14,203,172,1004989220,대구광역시,북구,4,15:06,16:59,113,487
2025-02-01,칠곡RDC,3.5T,1004989176,경상북도,구미시,2,09:04,11:03,119,136,1004989194,부산광역시,연제구,2,13:18,16:25,186,441
2025-02-01,칠곡RDC,3.5T,1004989176,경상북도,구미시,2,09:04,11:03,119,146,1004989177,경상북도,구미시,6,13:28,14:49,81,346
2025-02-01,칠곡RDC,3.5T,1004989176,경상북도,구미시,2,09:04,11:03,119,152,1004989212,대구광역시,달성군,4,13:34,15:14,100,371
2025-02-01,칠곡RDC,3.5T,1004989176,경상북도,구미시,2,09:04,11:03,119,180,1004989146,대구광역시,북구,2,14:02,15:16,74,373
2025-02-01,칠곡RDC,3.5T,1004989190,경상남도,양산시,1,09:22,12:38,195,85,1004989146,대구광역시,북구,2,14:02,15:16,74,354
