주문자코드(Sold to),건수,배송지(Ship-to) 수,출하RDC,배송지역
2516,122568,428,계룡RDC / 제주RDC / 제천RDC / 칠곡RDC / 평택RDC,강원도 강릉시 / 강원도 동해시 / 강원도 원주시 / 강원도 춘천시 / 강원도 태백시 / 경기도 고양시 덕양구 / 경기도 고양시 일산동구 / 경기도 고양시 일산서구 / 경기도 과천시 / 경기도 광주시 / 경기도 구리시 / 경기도 군포시 / 경기도 김포시 / 경기도 남양주시 / 경기도 동두천시 / 경기도 부천시 원미구 / 경기도 성남시 분당구 / 경기도 성남시 중원구 / 경기도 수원시 권선구 / 경기도 수원시 영통구 / 경기도 수원시 장안구 / 경기도 수원시 팔달구 / 경기도 시흥시 / 경기도 안산시 단원구 / 경기도 안성시 / 경기도 안양시 동안구 / 경기도 안양시 만안구 / 경기도 양주시 / 경기도 양평군 / 경기도 연천군 / 경기도 오산시 / 경기도 용인시 기흥구 / 경기도 용인시 수지구 / 경기도 용인시 처인구 / 경기도 의왕시 / 경기도 의정부시 / 경기도 파주시 / 경기도 평택시 / 경기도 포천시 / 경기도 하남시 / 경기도 화성시 / 경상남도 거제시 / 경상남도 거창군 / 경상남도 김해시 / 경상남도 사천시 / 경상남도 산청군 / 경상남도 양산시 / 경상남도 진주시 / 경상남도 창녕군 / 경상남도 창원시 마산합포구 / 경상남도 창원시 마산회원구 / 경상남도 창원시 성산구 / 경상남도 창원시 의창구 / 경상남도 창원시 진해구 / 경상남도 통영시 / 경상북도 경산시 / 경상북도 경주시 / 경상북도 구미시 / 경상북도 김천시 / 경상북도 상주시 / 경상북도 성주군 / 경상북도 안동시 / 경상북도 영덕군 / 경상북도 영주시 / 경상북도 예천군 / 경상북도 울진군 / 경상북도 포항시 남구 / 경상북도 포항시 북구 / 광주광역시 광산구 / 광주광역시 북구 / 광주광역시 서구 / 대구광역시 달서구 / 대구광역시 달성군 / 대구광역시 동구 / 대구광역시 북구 / 대구광역시 서구 / 대구광역시 수성구 / 대전광역시 대덕구 / 대전광역시 동구 / 대전광역시 서구 / 대전광역시 유성구 / 대전광역시 중구 / 부산광역시 금정구 / 부산광역시 기장군 / 부산광역시 남구 / 부산광역시 동래구 / 부산광역시 사상구 / 부산광역시 사하구 / 부산광역시 서구 / 부산광역시 수영구 / 부산광역시 연제구 / 부산광역시 중구 / 부산광역시 해운대구 / 서울특별시 강남구 / 서울특별시 강동구 / 서울특별시 강서구 / 서울특별시 관악구 / 서울특별시 구로구 / 서울특별시 금천구 / 서울특별시 도봉구 / 서울특별시 동대문구 / 서울특별시 마포구 / 서울특별시 서초구 / 서울특별시 성동구 / 서울특별시 성북구 / 서울특별시 송파구 / 서울특별시 양천구 / 서울특별시 영등포구 / 서울특별시 용산구 / 서울특별시 은평구 / 서울특별시 종로구 / 서울특별시 중구 / 서울특별시 중랑구 / 세종특별자치시 세종특별자치시 / 울산광역시 남구 / 울산광역시 북구 / 울산광역시 중구 / 인천광역시 계양구 / 인천광역시 남동구 / 인천광역시 동구 / 인천광역시 미추홀구 / 인천광역시 부평구 / 인천광역시 연수구 / 인천광역시 중구 / 전라남도 광양시 / 전라남도 나주시 / 전라남도 목포시 / 전라남도 무안군 / 전라남도 보성군 / 전라남도 순천시 / 전라남도 여수시 / 전라남도 화순군 / 전라북도 군산시 / 전라북도 남원시 / 전라북도 완주군 / 전라북도 익산시 / 전라북도 전주시 덕진구 / 전라북도 전주시 완산구 / 전라북도 정읍시 / 제주특별자치도 서귀포시 / 제주특별자치도 제주시 / 충청남도 공주시 / 충청남도 금산군 / 충청남도 당진시 / 충청남도 부여군 / 충청남도 서산시 / 충청남도 서천군 / 충청남도 아산시 / 충청남도 예산군 / 충청남도 천안시 동남구 / 충청남도 천안시 서북구 / 충청남도 태안군 / 충청남도 홍성군 / 충청북도 영동군 / 충청북도 음성군 / 충청북도 제천시 / 충청북도 진천군 / 충청북도 청주시 상당구 / 충청북도 청주시 서원구 / 충청북도 청주시 청원구 / 충청북도 청주시 흥덕구 / 충청북도 충주시
1408,3350,4,칠곡RDC,대구광역시 남구 / 대구광역시 북구 / 대구광역시 중구
6286,2363,4,칠곡RDC,경상북도 구미시 / 대구광역시 북구
KP12314,1903,1,계룡RDC,전라북도 완주군
316,1851,8,평택RDC,경기도 고양시 덕양구 / 경기도 고양시 일산동구 / 경기도 고양시 일산서구 / 경기도 광명시 / 경기도 용인시 기흥구 / 서울특별시 서초구
2290,1608,8,평택RDC,경기도 고양시 일산동구 / 서울특별시 구로구 / 서울특별시 양천구 / 서울특별시 은평구
670,1446,4,평택RDC,경기도 고양시 덕양구 / 경기도 부천시 원미구 / 인천광역시 부평구
KP12869,1328,2,제천RDC / 평택RDC,경기도 여주시 / 경기도 용인시 처인구
1726,1312,2,계룡RDC,광주광역시 광산구 / 전라남도 나주시
KP12834,1298,1,평택RDC,서울특별시 노원구
7863,1269,2,평택RDC,경기도 시흥시 / 경기도 안산시 상록구
302,1173,2,평택RDC,서울특별시 서초구
7556,1085,8,제천RDC,강원도 강릉시 / 강원도 속초시 / 강원도 인제군 / 강원도 평창군
KP13259,1075,1,평택RDC,서울특별시 영등포구
KP11899,1044,2,평택RDC,경기도 고양시 일산동구 / 경기도 용인시 기흥구
1473,1033,1,칠곡RDC,경상북도 안동시
KP12870,936,1,제천RDC,강원도 원주시
9376,884,5,계룡RDC / 평택RDC,광주광역시 광산구 / 광주광역시 서구 / 서울특별시 강남구 / 전라남도 목포시 / 전라남도 순천시
1833,877,6,계룡RDC,전라북도 군산시 / 전라북도 부안군 / 전라북도 익산시 / 전라북도 전주시 덕진구 / 전라북도 전주시 완산구 / 전라북도 정읍시
679,844,3,계룡RDC / 평택RDC,광주광역시 서구 / 인천광역시 서구
KP12387,813,1,평택RDC,경기도 용인시 기흥구
7832,809,5,계룡RDC,대전광역시 대덕구 / 대전광역시 서구 / 대전광역시 유성구
KP12474,801,1,칠곡RDC,대구광역시 동구
KH02138,798,1,제천RDC,강원도 원주시
1282,795,3,칠곡RDC,경상북도 포항시 북구
