구분,사이즈,인치,1T_1본당%,1T_만적수량,3.5T_1본당%,3.5T_만적수량,5T_1본당%,5T_만적수량,8T_1본당%,8T_만적수량,11T_1본당%,11T_만적수량
PCR,155/70R12,120,0.646,154,0.250,400,0.135,740,,,,
PCR,155/70R13,130,0.700,142,0.267,375,0.150,666,,,,
PCR,155/80R13,130,0.708,141,0.245,408,0.150,666,,,,
PCR,165/65R13,130,0.700,142,0.275,363,0.150,666,,,,
PCR,175/60R13,130,0.500,200,0.275,363,0.150,666,,,,
PCR,175/70R13,130,0.850,117,0.367,272,0.175,571,,,,
PCR,155/70R14,140,0.550,181,0.200,500,0.100,1000,,,,
PCR,165/60R14,140,0.700,142,0.280,357,0.183,545,0.128,783,0.098,1020
PCR,165/65R14,140,0.675,148,0.325,307,0.200,500,0.125,797,0.100,1000
PCR,175/60R14,140,1.250,80,0.300,333,0.200,500,,,,
PCR,175/65R14,140,0.800,125,0.312,320,0.170,588,0.129,776,0.099,1010
PCR,175/70R14,140,0.850,117,0.305,327,0.167,600,,,,
PCR,185/60R14,140,,,0.300,333,0.200,500,,,,
PCR,185/65R14,140,0.950,105,0.325,307,0.200,500,,,,
PCR,195/60R14,140,,,0.375,266,0.200,500,,,,
PCR,195/70R14,140,,,0.400,250,0.250,400,,,,
PCR,165/60R15,150,0.700,142,0.225,444,0.150,666,,,,
PCR,175/50R15,150,0.600,166,0.225,444,0.150,666,0.120,833,0.088,1137
PCR,175/65R15,150,0.900,111,0.270,370,0.175,571,,,0.100,1000
PCR,180/650R15,150,,,,,,,,,0.233,428
PCR,185/55R15,150,1.050,95,0.312,320,0.200,500,,,0.100,1000
PCR,185/60R15,150,,,0.287,347,0.200,500,,,,
PCR,185/65R15,150,1.000,100,0.325,307,0.183,545,0.150,666,0.113,888
PCR,195/55R15,150,1.125,88,0.400,250,0.233,428,,,,
PCR,195/60R15,150,1.150,86,0.400,250,0.200,500,,,,
PCR,195/65R15,150,1.100,90,0.350,285,0.200,500,0.159,629,0.132,755
PCR,205/60R15,150,1.350,74,0.400,250,0.250,400,,,,
PCR,205/65R15,150,1.400,71,0.433,230,0.250,400,,,0.134,748
PCR,215/65R15,150,1.475,67,0.500,200,0.300,333,,,,
PCR,225/70R15,150,,,0.500,200,0.300,333,,,,
PCR,235/75R15,150,1.400,71,0.583,171,0.400,250,,,,
PCR,255/70R15,150,2.075,48,0.650,153,0.325,307,,,,
PCR,195/45R16,160,0.900,111,0.280,357,0.175,571,,,0.100,1000
PCR,195/50R16,160,2.000,50,0.400,250,0.400,250,,,,
PCR,195/55R16,160,1.270,78,0.400,250,0.275,363,,,,
PCR,205/45R16,160,1.550,64,0.550,181,,,,,,
PCR,205/50R16,160,1.675,59,0.575,173,0.400,250,,,,
