시군구코드(대표리전코드),광역도시,시군구명,현재배정RDC(수량기준),총수량,총배송횟수(DeliveryNo),고유배송지코드수(Ship-to),RDC까지거리_km(수량가중평균),"RDC까지시간_h(중앙값,RealGI~Arrival)",수량비중_%,배송횟수비중_%,배정RDC_수량점유율_%,배정RDC_배송횟수점유율_%,대표권역번호(ShipmentRoute)
OCA,대구광역시,북구,칠곡RDC,48079,1146,33,48.5,1.12,2.3315,1.1689,86.41,94.42,KRD204
GIA,경기도,화성시,평택RDC,42932,2262,92,73.3,1.97,2.0819,2.3072,88.93,88.02,KRD8U0
CIA,강원도,원주시,제천RDC,41268,1126,31,70.0,1.54,2.0013,1.1485,90.2,82.77,KRD980
EHA,충청북도,청주시 서원구,계룡RDC,35807,708,20,99.5,2.43,1.7364,0.7221,62.86,81.78,KRDA91
NFA,제주특별자치도,제주시,제주RDC,35600,1501,49,,1.83,1.7264,1.531,98.49,96.2,KRDG10
DLA,충청남도,천안시 동남구,평택RDC,34814,912,28,75.4,2.01,1.6883,0.9302,51.8,79.17,KRDBB0
GNA,경기도,안성시,금산공장,33661,615,17,110.9,1.86,1.6324,0.6273,50.67,5.2,KRD8F0
OEA,대구광역시,달서구,칠곡RDC,32641,1004,25,45.7,1.23,1.5829,1.024,89.48,92.83,KRD201
HGA,경기도,양주시,평택RDC,30803,616,20,133.3,2.69,1.4938,0.6283,89.55,80.03,KRD8H0
MNA,경상남도,진주시,칠곡RDC,30237,1407,50,172.5,2.77,1.4663,1.4351,93.06,92.47,KRDFA0
AGA,서울특별시,동대문구,평택RDC,28549,414,8,106.8,2.62,1.3845,0.4223,76.43,80.68,KRD00A
GMA,경기도,평택시,평택RDC,27368,1625,53,76.9,1.47,1.3272,1.6574,75.66,84.68,KRD8R0
FEA,인천광역시,서구,평택RDC,26692,838,21,123.2,3.23,1.2944,0.8547,85.31,79.71,KRD306
IEA,광주광역시,광산구,계룡RDC,26368,1185,42,224.9,3.11,1.2787,1.2087,88.49,80.59,KRD400
GTA,경기도,하남시,평택RDC,26071,1155,32,96.2,3.21,1.2643,1.1781,90.53,89.35,KRD8T0
PNA,경상북도,포항시 북구,칠곡RDC,24442,866,17,150.7,2.16,1.1853,0.8833,99.43,95.5,KRDEM1
LQA,경상남도,김해시,칠곡RDC,24361,1300,51,144.0,3.01,1.1814,1.3259,92.02,87.15,KRDF30
GKA,경기도,용인시 처인구,평택RDC,24120,1217,44,82.0,2.56,1.1697,1.2413,82.78,82.66,KRD8M2
AVA,서울특별시,구로구,평택RDC,23481,379,10,92.3,2.15,1.1387,0.3866,88.84,80.47,KRD006
ELA,충청북도,음성군,금산공장,23442,529,17,101.9,3.23,1.1368,0.5396,50.58,5.29,KRDA50
HBA,경기도,남양주시,평택RDC,23064,1361,43,155.0,2.38,1.1185,1.3882,88.03,85.67,KRD880
MHA,경상남도,창원시 마산합포구,칠곡RDC,21814,450,11,137.3,2.32,1.0578,0.459,97.74,94.22,KRDFC0
DAA,대전광역시,동구,계룡RDC,21037,400,8,35.1,1.82,1.0202,0.408,89.0,83.5,KRD501
GKA,경기도,용인시 기흥구,평택RDC,20996,1037,29,67.5,1.91,1.0182,1.0577,90.46,88.52,KRD8M0
DCA,대전광역시,서구,계룡RDC,20691,1099,25,32.7,1.79,1.0034,1.1209,98.86,92.54,KRD502
FVA,경기도,시흥시,평택RDC,19585,1217,40,91.6,2.11,0.9498,1.2413,95.07,91.45,KRD8D0
ANA,서울특별시,서초구,평택RDC,19502,954,23,82.0,2.19,0.9457,0.973,96.91,86.06,KRD00E
JNA,전라북도,완주군,계룡RDC,19302,303,13,93.7,1.81,0.936,0.309,85.14,80.86,KRDC70
GSA,경기도,광주시,평택RDC,19292,883,29,81.8,2.85,0.9355,0.9006,84.67,85.5,KRD840
JMA,전라북도,전주시 덕진구,계룡RDC,19216,969,34,103.3,2.09,0.9319,0.9883,95.43,89.27,KRDCB0
FDA,인천광역시,부평구,평택RDC,19180,825,19,101.4,2.65,0.9301,0.8415,89.1,92.61,KRD305
PCA,경상북도,안동시,칠곡RDC,18379,619,16,124.8,2.37,0.8913,0.6314,90.3,89.34,KRDEA0
OOA,경상북도,구미시,칠곡RDC,18081,1011,36,60.5,1.3,0.8768,1.0312,95.59,92.58,KRDE30
AOA,서울특별시,송파구,평택RDC,17774,867,19,85.9,2.21,0.8619,0.8843,91.74,84.2,KRD00H
DEA,대전광역시,대덕구,계룡RDC,17766,959,28,41.4,1.88,0.8615,0.9781,92.96,86.55,KRD500
GFA,경기도,수원시 권선구,평택RDC,17328,949,25,65.5,1.94,0.8403,0.9679,92.45,89.25,KRD8C0
ATA,서울특별시,영등포구,평택RDC,17057,665,14,80.4,2.23,0.8272,0.6783,98.28,87.52,KRD00J
DDA,대전광역시,유성구,계룡RDC,16958,959,26,58.9,1.88,0.8224,0.9781,96.96,92.7,KRD503
OEA,대구광역시,서구,칠곡RDC,16508,306,11,41.8,1.7,0.8005,0.3121,89.78,97.39,KRD205
FTA,경기도,안산시 상록구,평택RDC,16312,378,9,84.9,1.72,0.791,0.3855,87.95,86.77,KRD8E1
CCA,강원도,강릉시,제천RDC,16098,712,29,205.5,3.56,0.7807,0.7262,87.4,75.84,KRD900
MHA,경상남도,창원시 의창구,칠곡RDC,15797,590,12,138.3,2.36,0.7661,0.6018,97.69,89.15,KRDFC3
IAA,광주광역시,북구,계룡RDC,15695,831,27,192.3,3.09,0.7611,0.8476,95.39,89.41,KRD403
DOA,충청남도,아산시,평택RDC,15198,828,34,71.2,2.12,0.737,0.8445,84.2,88.29,KRDB90
FJA,경기도,고양시 일산동구,평택RDC,15089,536,23,126.1,3.81,0.7317,0.5467,96.43,88.43,KRD811
JAA,전라남도,순천시,계룡RDC,14814,683,21,252.8,3.59,0.7184,0.6966,97.81,87.55,KRDDA0
LNA,부산광역시,사상구,칠곡RDC,14710,622,30,153.4,2.9,0.7133,0.6344,96.7,93.57,KRD108
DLA,충청남도,천안시 서북구,평택RDC,14682,1051,28,55.8,1.88,0.712,1.072,92.13,85.82,KRDBB1
CAA,강원도,춘천시,제천RDC,13852,510,17,156.4,2.74,0.6717,0.5202,94.02,83.53,KRD9C0
FFA,인천광역시,남동구,평택RDC,13721,793,16,89.5,3.08,0.6654,0.8088,96.8,87.39,KRD302
FLA,경기도,파주시,평택RDC,13486,856,21,150.1,5.04,0.654,0.8731,89.96,84.46,KRD8Q0
EHA,충청북도,청주시 흥덕구,계룡RDC,12896,619,25,142.9,2.31,0.6254,0.6314,92.54,86.91,KRDA93
NAA,울산광역시,남구,칠곡RDC,12837,673,19,147.1,2.44,0.6225,0.6864,96.53,94.8,KRD600
FJA,경기도,고양시 일산서구,평택RDC,12602,452,17,129.7,3.41,0.6111,0.461,99.17,92.48,KRD812
PNA,경상북도,포항시 남구,칠곡RDC,12531,831,32,164.5,2.14,0.6077,0.8476,88.61,81.23,KRDEM0
FJA,경기도,고양시 덕양구,평택RDC,12531,639,19,124.2,4.24,0.6077,0.6518,95.17,86.38,KRD810
PLA,경상북도,경주시,칠곡RDC,12316,705,29,150.1,2.05,0.5973,0.7191,96.05,91.91,KRDE10
OBA,대구광역시,동구,칠곡RDC,12220,479,13,54.1,1.44,0.5926,0.4886,98.54,93.32,KRD203
LSA,경상남도,양산시,칠곡RDC,12048,925,36,149.5,2.54,0.5843,0.9435,92.2,92.54,KRDF80
OHA,대구광역시,달성군,칠곡RDC,12004,724,21,64.5,1.35,0.5821,0.7385,96.1,93.51,KRD202
NDA,울산광역시,북구,칠곡RDC,11394,563,16,151.1,2.86,0.5525,0.5742,95.75,91.12,KRD602
LIA,부산광역시,연제구,칠곡RDC,11386,532,13,145.7,2.84,0.5522,0.5426,98.97,96.05,KRD10C
MDA,경상남도,창녕군,칠곡RDC,11182,252,9,132.8,1.27,0.5423,0.257,73.57,91.27,KRDFB0
DQA,세종특별자치시,세종특별자치시,계룡RDC,11082,692,25,142.8,1.3,0.5374,0.7058,95.25,87.72,KRD700
APA,서울특별시,노원구,평택RDC,10873,189,5,100.3,2.32,0.5273,0.1928,98.57,87.83,KRD008
OGA,대구광역시,수성구,칠곡RDC,10857,490,11,43.7,1.56,0.5265,0.4998,99.7,97.35,KRD206
EPA,충청북도,충주시,제천RDC,10728,601,26,64.9,1.77,0.5202,0.613,89.62,77.54,KRDAA0
HKA,경기도,포천시,평택RDC,10531,571,27,192.1,3.64,0.5107,0.5824,65.82,80.91,KRD8S0
IQA,전라남도,목포시,계룡RDC,10329,573,20,279.5,5.82,0.5009,0.5844,94.98,86.74,KRDD70
FNA,경기도,김포시,평택RDC,10327,831,28,140.3,4.0,0.5008,0.8476,91.04,85.56,KRD870
GBA,경기도,안양시 동안구,평택RDC,10301,621,10,74.0,2.06,0.4995,0.6334,95.16,90.5,KRD8G0
FCA,인천광역시,미추홀구,평택RDC,10162,638,19,94.6,3.62,0.4928,0.6507,96.43,92.48,KRD304
MHA,경상남도,창원시 마산회원구,칠곡RDC,9968,579,19,124.5,2.43,0.4834,0.5906,97.44,93.26,KRDFC1
BAA,서울특별시,강서구,평택RDC,9931,532,12,96.5,2.22,0.4816,0.5426,94.8,88.72,KRD003
OAA,대구광역시,중구,칠곡RDC,9816,110,2,46.2,1.15,0.476,0.1122,93.99,96.36,KRD207
JFA,전라남도,광양시,계룡RDC,9781,495,20,204.5,3.47,0.4743,0.5049,91.52,83.03,KRDD30
JRA,전라북도,익산시,계룡RDC,9761,689,26,105.1,1.9,0.4734,0.7028,93.24,88.53,KRDC80
FTA,경기도,안산시 단원구,평택RDC,9642,538,14,84.2,2.94,0.4676,0.5487,92.33,84.76,KRD8E0
NFG,제주특별자치도,서귀포시,제주RDC,9641,546,19,,1.88,0.4675,0.5569,99.23,95.6,KRDG00
EEA,충청남도,서산시,평택RDC,9441,657,26,122.6,3.4,0.4578,0.6701,93.79,86.91,KRDB70
EHA,충청북도,청주시 상당구,계룡RDC,9374,298,7,139.5,2.8,0.4546,0.3039,98.7,95.97,KRDA90
GRA,경기도,성남시 분당구,평택RDC,9199,584,20,64.5,1.98,0.4461,0.5957,91.75,85.45,KRD8B0
DSA,충청남도,당진시,평택RDC,9183,568,19,117.4,2.74,0.4453,0.5793,86.94,83.8,KRDB40
JMA,전라북도,전주시 완산구,계룡RDC,9179,387,13,110.1,2.52,0.4451,0.3947,99.37,94.57,KRDCB1
JJA,전라남도,여수시,계룡RDC,9022,529,18,273.7,5.67,0.4375,0.5396,91.65,88.66,KRDDC0
ERA,충청북도,제천시,제천RDC,8803,506,17,96.9,0.44,0.4269,0.5161,83.8,71.94,KRDA60
MLA,경상남도,거제시,칠곡RDC,8741,639,28,228.9,5.49,0.4239,0.6518,98.6,95.62,KRDF00
FNA,인천광역시,중구,평택RDC,8726,379,14,178.7,2.81,0.4232,0.3866,59.55,62.01,KRD309
MHA,경상남도,창원시 성산구,칠곡RDC,8624,443,8,133.9,2.95,0.4182,0.4518,98.64,96.61,KRDFC2
GEA,경기도,의왕시,평택RDC,8622,239,6,127.6,1.99,0.4181,0.2438,60.69,78.24,KRD8N0
OIA,경상북도,경산시,칠곡RDC,8603,457,22,68.1,2.19,0.4172,0.4661,91.26,89.28,KRDE00
LLA,부산광역시,부산진구,칠곡RDC,8594,337,17,152.2,2.43,0.4168,0.3437,99.5,97.92,KRD106
JTA,전라북도,군산시,계룡RDC,8577,607,22,126.2,2.97,0.4159,0.6191,92.69,92.75,KRDC10
GUA,경기도,이천시,제천RDC,8499,507,22,106.8,2.84,0.4122,0.5171,86.05,82.45,KRD8P0
LJA,부산광역시,해운대구,칠곡RDC,8173,582,16,162.1,1.23,0.3963,0.5936,98.16,94.85,KRD10F
GFA,경기도,수원시 팔달구,평택RDC,8100,362,8,74.7,1.96,0.3928,0.3692,81.64,87.57,KRD8C3
CPA,강원도,동해시,제천RDC,8096,451,15,242.2,4.31,0.3926,0.46,88.08,78.27,KRD920
LPA,부산광역시,기장군,칠곡RDC,8090,466,23,161.6,1.62,0.3923,0.4753,97.37,94.85,KRD102
EAA,충청남도,홍성군,평택RDC,7649,473,14,101.8,3.75,0.3709,0.4824,94.84,86.89,KRDBE0
GVA,경기도,여주시,제천RDC,7493,403,18,96.3,2.74,0.3634,0.411,95.09,86.85,KRD8J0
EJA,충청북도,진천군,평택RDC,7460,253,11,76.2,3.09,0.3618,0.2581,59.83,77.47,KRDA80
GJA,경기도,오산시,평택RDC,7371,495,16,44.2,1.51,0.3574,0.5049,91.86,87.07,KRD8L0
AHA,서울특별시,중랑구,평택RDC,7318,287,10,91.6,2.11,0.3549,0.2927,97.95,93.73,KRD00O
NEA,울산광역시,울주군,칠곡RDC,7142,398,23,151.4,1.97,0.3463,0.4059,95.02,88.69,KRD603
EGA,충청북도,청주시 청원구,계룡RDC,6987,427,15,132.3,2.49,0.3388,0.4355,88.05,85.95,KRDA92
HFA,경기도,의정부시,평택RDC,6859,433,11,114.1,2.6,0.3326,0.4416,94.52,88.22,KRD8O0
FPA,경기도,부천시 원미구,평택RDC,6671,314,11,90.0,2.77,0.3235,0.3203,98.41,88.22,KRD8A0
PAA,경상북도,영주시,제천RDC,6654,327,11,95.2,2.15,0.3227,0.3335,93.91,80.12,KRDED0
MIA,경상남도,창원시 진해구,칠곡RDC,6646,374,20,171.2,3.75,0.3223,0.3815,80.95,79.68,KRDFC4
FHA,인천광역시,계양구,평택RDC,6546,314,9,106.6,3.42,0.3174,0.3203,91.35,86.62,KRD301
AJA,서울특별시,성동구,평택RDC,6387,461,10,89.3,2.34,0.3097,0.4702,97.57,89.59,KRD00F
LHA,부산광역시,금정구,칠곡RDC,6334,373,20,154.1,4.67,0.3072,0.3804,94.87,90.62,KRD101
DIA,충청남도,논산시,계룡RDC,6262,445,22,62.8,1.74,0.3037,0.4539,89.64,80.67,KRDB30
OQA,경상북도,상주시,칠곡RDC,6179,312,11,93.3,2.22,0.2996,0.3182,96.76,88.78,KRDE80
HAA,경기도,구리시,평택RDC,6139,327,8,129.3,1.86,0.2977,0.3335,97.87,88.07,KRD850
