Actual Plant 코드,Actual Plant 명,광역도시,시군구,건수,비율(%)
11R2,평택RDC,경기도,화성시,7209,5.1
11R2,평택RDC,서울특별시,서초구,4416,3.1
11R2,평택RDC,경기도,평택시,4167,2.9
11R2,평택RDC,경기도,남양주시,4077,2.9
11R2,평택RDC,경기도,용인시 처인구,4046,2.9
11R2,평택RDC,경기도,용인시 기흥구,3935,2.8
11R2,평택RDC,경기도,하남시,3786,2.7
11R2,평택RDC,인천광역시,부평구,3602,2.5
11R2,평택RDC,경기도,시흥시,3504,2.5
11R2,평택RDC,인천광역시,서구,3501,2.5
11R2,평택RDC,충청남도,천안시 동남구,3364,2.4
11R2,평택RDC,경기도,양주시,3141,2.2
11R2,평택RDC,서울특별시,영등포구,3115,2.2
11R2,평택RDC,충청남도,천안시 서북구,3035,2.1
11R2,평택RDC,경기도,수원시 권선구,2995,2.1
11R2,평택RDC,서울특별시,송파구,2933,2.1
11R2,평택RDC,서울특별시,동대문구,2857,2.0
11R2,평택RDC,경기도,광주시,2795,2.0
11R2,평택RDC,인천광역시,남동구,2641,1.9
11R2,평택RDC,서울특별시,구로구,2610,1.8
11R2,평택RDC,경기도,고양시 덕양구,2593,1.8
11R2,평택RDC,충청남도,아산시,2470,1.7
11R2,평택RDC,경기도,파주시,2461,1.7
11R2,평택RDC,경기도,고양시 일산동구,2361,1.7
11R2,평택RDC,경기도,안산시 상록구,2284,1.6
11R2,평택RDC,경기도,김포시,2139,1.5
11R2,평택RDC,인천광역시,미추홀구,2123,1.5
11R2,평택RDC,충청북도,음성군,2062,1.5
11R2,평택RDC,경기도,고양시 일산서구,2047,1.4
11R2,평택RDC,충청남도,서산시,1876,1.3
11R2,평택RDC,서울특별시,강서구,1821,1.3
11R2,평택RDC,경기도,안양시 동안구,1792,1.3
11R2,평택RDC,충청남도,홍성군,1764,1.2
11R2,평택RDC,서울특별시,노원구,1641,1.2
11R2,평택RDC,경기도,안성시,1616,1.1
11R2,평택RDC,충청남도,당진시,1571,1.1
11R2,평택RDC,서울특별시,성동구,1450,1.0
11R2,평택RDC,서울특별시,중랑구,1417,1.0
11R2,평택RDC,경기도,성남시 분당구,1363,1.0
11R2,평택RDC,경기도,의정부시,1343,0.9
11R2,평택RDC,경기도,안산시 단원구,1322,0.9
11R2,평택RDC,경기도,포천시,1298,0.9
