Ship-to party,Shipment Route,Region Code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
,,,,,,
10021,KRD8M2,GKA,경기도,용인시 처인구,11R2,평택RDC
10023,KRDG10,NFD,제주특별자치도,제주시,11RB,제주RDC
10024,KRDFC0,MHA,경상남도,창원시 마산합포구,11RD,칠곡RDC
10051,KRD309,FAA,인천광역시,중구,11R2,평택RDC
10052,KRD504,DBA,대전광역시,중구,11RC,계룡RDC
10053,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
10066,KRDA10,ETA,충청북도,단양군,11R9,제천RDC
10067,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
10068,KRD602,NDA,울산광역시,북구,11RD,칠곡RDC
10071,KRD8O0,HFA,경기도,의정부시,11R2,평택RDC
10096,KRD811,FJA,경기도,고양시 일산동구,11R2,평택RDC
1010,KRD9D0,COA,강원도,태백시,11R9,제천RDC
10103,KRDDC0,JJA,전라남도,여수시,11RC,계룡RDC
10104,KRDE10,PLA,경상북도,경주시,11RD,칠곡RDC
10105,KRD8E0,FTA,경기도,안산시 단원구,11R2,평택RDC
10108,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
10109,KRDE50,OPA,경상북도,김천시,11RD,칠곡RDC
1011,KRD900,CCA,강원도,강릉시,11R9,제천RDC
10110,KRDEA0,PDA,경상북도,안동시,11RD,칠곡RDC
10113,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
10117,KRD810,FJA,경기도,고양시 덕양구,11R2,평택RDC
1012,KRD920,CPA,강원도,동해시,11R9,제천RDC
10124,KRD201,OEA,대구광역시,달서구,11RD,칠곡RDC
10127,KRD00O,AHA,서울특별시,중랑구,11R2,평택RDC
10131,KRDA92,EIA,충청북도,청주시 청원구,11RC,계룡RDC
10137,KRDD50,ILA,전라남도,나주시,11RC,계룡RDC
10142,KRDFC1,MHA,경상남도,창원시 마산회원구,11RD,칠곡RDC
10145,KRDFC3,MHA,경상남도,창원시 의창구,11RD,칠곡RDC
10156,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
10157,KRDFC1,MHA,경상남도,창원시 마산회원구,11RD,칠곡RDC
10159,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
1016,KRD9A0,CNA,강원도,정선군,11R9,제천RDC
10163,KRD501,DAA,대전광역시,동구,11RC,계룡RDC
10164,KRD8P0,GUA,경기도,이천시,11R9,제천RDC
10166,KRDC80,JRA,전라북도,익산시,11RC,계룡RDC
1017,KRD9E0,CMA,강원도,평창군,11R9,제천RDC
10181,KRDA92,EIA,충청북도,청주시 청원구,11RC,계룡RDC
10183,KRD306,FEA,인천광역시,서구,11R2,평택RDC
10193,KRD107,LMA,부산광역시,북구,11RD,칠곡RDC
10199,KRD700,DQA,세종특별자치시,세종특별자치시,11RC,계룡RDC
1020,KRD990,CTA,강원도,인제군,11R9,제천RDC
10206,KRD870,FNA,경기도,김포시,11R2,평택RDC
10208,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
10210,KRDC10,JTA,전라북도,군산시,11RC,계룡RDC
10220,KRD305,FDA,인천광역시,부평구,11R2,평택RDC
10221,KRDBB1,DLA,충청남도,천안시 서북구,11R2,평택RDC
10241,KRD8G1,GBA,경기도,안양시 만안구,11R2,평택RDC
10242,KRD404,ICA,광주광역시,서구,11RC,계룡RDC
1026,KRDA10,ETA,충청북도,단양군,11R9,제천RDC
10261,KRD304,FCA,인천광역시,미추홀구,11R2,평택RDC
10262,KRD602,NDA,울산광역시,북구,11RD,칠곡RDC
10277,KRDB10,DGA,충청남도,공주시,11RC,계룡RDC
10282,KRDA93,EHA,충청북도,청주시 흥덕구,11RC,계룡RDC
10287,KRDDA0,JAA,전라남도,순천시,11RC,계룡RDC
10289,KRD202,OHA,대구광역시,달성군,11RD,칠곡RDC
10290,KRDBA0,DRA,충청남도,예산군,11R2,평택RDC
10306,KRD970,CLA,강원도,영월군,11R9,제천RDC
10307,KRD8M2,GKA,경기도,용인시 처인구,11R2,평택RDC
10308,KRD00I,BBA,서울특별시,양천구,11R2,평택RDC
1031,KRD9C0,CAA,강원도,춘천시,11R9,제천RDC
10310,KRD810,FJA,경기도,고양시 덕양구,11R2,평택RDC
10315,KRDE50,OPA,경상북도,김천시,11RD,칠곡RDC
10317,KRD00E,ANA,서울특별시,서초구,11R2,평택RDC
10350,KRD000,ALA,서울특별시,강남구,11R2,평택RDC
10353,KRD00H,AOA,서울특별시,송파구,11R2,평택RDC
10355,KRD00H,AOA,서울특별시,송파구,11R2,평택RDC
10356,KRD810,FJA,경기도,고양시 덕양구,11R2,평택RDC
10359,KRDBB0,DLA,충청남도,천안시 동남구,11R2,평택RDC
10360,KRD8D0,FVA,경기도,시흥시,11R2,평택RDC
10362,KRDFE0,MRA,경상남도,하동군,11RD,칠곡RDC
1038,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
10386,KRDA90,EHA,충청북도,청주시 상당구,11RC,계룡RDC
10396,KRDEA0,PDA,경상북도,안동시,11RD,칠곡RDC
104,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
10402,KRD403,IAA,광주광역시,북구,11RC,계룡RDC
10406,KRD004,AUA,서울특별시,관악구,11R2,평택RDC
10415,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
10427,KRD880,HBA,경기도,남양주시,11R2,평택RDC
10428,KRD880,HBA,경기도,남양주시,11R2,평택RDC
10436,KRDA91,EHA,충청북도,청주시 서원구,11RC,계룡RDC
10442,KRD900,CCA,강원도,강릉시,11R9,제천RDC
1045,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
10456,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
10463,KRDF00,MLA,경상남도,거제시,11RD,칠곡RDC
10479,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1048,KRDA60,ERA,충청북도,제천시,11R9,제천RDC
10481,KRD10C,LIA,부산광역시,연제구,11RD,칠곡RDC
10502,KRD8E0,FTA,경기도,안산시 단원구,11R2,평택RDC
10512,KRD8F0,GNA,경기도,안성시,11R2,평택RDC
10513,KRDFD0,MJA,경상남도,통영시,11RD,칠곡RDC
10523,KRD8P0,GUA,경기도,이천시,11R9,제천RDC
10524,KRD302,FFA,인천광역시,남동구,11R2,평택RDC
1053,KRD950,CUA,강원도,양구군,11R9,제천RDC
10537,KRD403,IAA,광주광역시,북구,11RC,계룡RDC
10541,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
10546,KRDFC1,MHA,경상남도,창원시 마산회원구,11RD,칠곡RDC
10549,KRD880,HBA,경기도,남양주시,11R2,평택RDC
1055,KRD980,CIA,강원도,원주시,11R9,제천RDC
10552,KRDF00,PIA,경상남도,거제시,11RD,칠곡RDC
10553,KRD201,OEA,대구광역시,달서구,11RD,칠곡RDC
10554,KRD8B0,GRA,경기도,성남시 분당구,11R2,평택RDC
10561,KRDBE0,EAA,충청남도,홍성군,11R2,평택RDC
10570,KRD8D0,FVA,경기도,시흥시,11R2,평택RDC
10571,KRD00N,AAA,서울특별시,중구,11R2,평택RDC
10576,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
10587,KRD8G0,GBA,경기도,안양시 동안구,11R2,평택RDC
10588,KRD400,IEA,광주광역시,광산구,11RC,계룡RDC
10589,KRD00O,AHA,서울특별시,중랑구,11R2,평택RDC
1059,KRD9C0,CAA,강원도,춘천시,11R9,제천RDC
10601,KRD306,FEA,인천광역시,서구,11R2,평택RDC
10602,KRDC30,KDA,전라북도,남원시,11RC,계룡RDC
10604,KRDA93,EHA,충청북도,청주시 흥덕구,11RC,계룡RDC
10605,KRDA70,ABF,충청북도,증평군,11RC,계룡RDC
10606,KRDA20,EOA,충청북도,보은군,11RC,계룡RDC
1061,KRD9H0,CKA,강원도,횡성군,11R9,제천RDC
10610,KRDG10,C73,제주특별자치도,제주시,11RB,제주RDC
10612,KRD8U0,GIA,경기도,화성시,11R2,평택RDC
10614,KRD202,OHA,대구광역시,달성군,11RD,칠곡RDC
10616,KRDE90,ONA,경상북도,성주군,11RD,칠곡RDC
10618,KRDE80,OQA,경상북도,상주시,11RD,칠곡RDC
10619,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
10624,KRDFD0,MJA,경상남도,통영시,11RD,칠곡RDC
10625,KRDEH0,PIA,경상북도,울진군,11RD,칠곡RDC
10626,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
10628,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
10629,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
10631,KRD101,LHA,부산광역시,금정구,11RD,칠곡RDC
10636,KRDBB0,DLA,충청남도,천안시 동남구,11R2,평택RDC
10637,KRDBE0,EAA,충청남도,홍성군,11R2,평택RDC
10642,KRD10C,LIA,부산광역시,연제구,11RD,칠곡RDC
1072,KRDEL0,OMA,경상북도,칠곡군,11RD,칠곡RDC
1087,KRDE20,OLA,경상북도,고령군,11RD,칠곡RDC
1090,KRDE20,OLA,경상북도,고령군,11RD,칠곡RDC
1092,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
1093,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
1094,KRD204,OCA,대구광역시,북구,11RD,칠곡RDC
1097,KRD200,OFA,대구광역시,남구,11RD,칠곡RDC
1106,KRD201,OEA,대구광역시,달서구,11RD,칠곡RDC
1109,KRDE30,OOA,경상북도,구미시,11RD,칠곡RDC
1112,KRDE90,ONA,경상북도,성주군,11RD,칠곡RDC
1113,KRD202,OHA,대구광역시,달성군,11RD,칠곡RDC
1114,KRD204,OCA,대구광역시,북구,11RD,칠곡RDC
1116,KRD201,OEA,대구광역시,달서구,11RD,칠곡RDC
1124,KRD202,OHA,대구광역시,달성군,11RD,칠곡RDC
1130,KRD109,LDA,부산광역시,사하구,11RD,칠곡RDC
1148,KRD104,LBA,부산광역시,동구,11RD,칠곡RDC
1155,KRD109,LDA,부산광역시,사하구,11RD,칠곡RDC
1165,KRD10D,LKA,부산광역시,영도구,11RD,칠곡RDC
1183,KRDFC4,MHA,경상남도,창원시 진해구,11RD,칠곡RDC
1190,KRDFC1,MAA,경상남도,창원시 마산회원구,11RD,칠곡RDC
1200,KRDF50,LTA,경상남도,밀양시,11RD,칠곡RDC
1203,KRDFC4,MHA,경상남도,창원시 진해구,11RD,칠곡RDC
1208,KRDFC3,MHA,경상남도,창원시 의창구,11RD,칠곡RDC
1210,KRDFC1,MHA,경상남도,창원시 마산회원구,11RD,칠곡RDC
1219,KRDFC3,MHA,경상남도,창원시 의창구,11RD,칠곡RDC
1220,KRDFC3,MHA,경상남도,창원시 성산구,11RD,칠곡RDC
1221,KRDFC3,MHA,경상남도,창원시 의창구,11RD,칠곡RDC
123,KRDFH0,MVA,경상남도,합천군,11RD,칠곡RDC
126,KRD203,OBA,대구광역시,동구,11RD,칠곡RDC
1267,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
1272,KRDE10,PLA,경상북도,경주시,11RD,칠곡RDC
1273,KRDEM0,PNA,경상북도,포항시 남구,11RD,칠곡RDC
1280,KRDEB0,PHA,경상북도,영덕군,11RD,칠곡RDC
1282,KRDEM1,PNA,경상북도,포항시 북구,11RD,칠곡RDC
1292,KRD603,NEA,울산광역시,울주군,11RD,칠곡RDC
1300,KRD603,NEA,울산광역시,울주군,11RD,칠곡RDC
1307,KRD601,PHA,울산광역시,동구,11RD,칠곡RDC
1309,KRD602,NDA,울산광역시,북구,11RD,칠곡RDC
1313,KRD604,NBA,울산광역시,중구,11RD,칠곡RDC
1318,KRD600,NAA,울산광역시,남구,11RD,칠곡RDC
1321,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1324,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1327,KRDF40,MSA,경상남도,남해군,11RD,칠곡RDC
1328,KRDF10,MTA,경상남도,거창군,11RD,칠곡RDC
1331,KRDF20,MGA,경상남도,고성군,11RD,칠곡RDC
1337,KRDF40,MSA,경상남도,남해군,11RD,칠곡RDC
1344,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1350,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1351,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1356,KRDF60,MPA,경상남도,사천시,11RD,칠곡RDC
1363,KRDF60,MPA,경상남도,사천시,11RD,칠곡RDC
1374,KRDFA0,MNA,경상남도,진주시,11RD,칠곡RDC
1375,KRDFD0,MJA,경상남도,통영시,11RD,칠곡RDC
1378,KRDFE0,MRA,경상남도,하동군,11RD,칠곡RDC
1382,KRDFG0,MUA,경상남도,함양군,11RD,칠곡RDC
1383,KRDFG0,MUA,경상남도,함양군,11RD,칠곡RDC
1387,KRDFH0,MVA,경상남도,합천군,11RD,칠곡RDC
1403,KRDEE0,PJA,경상북도,영천시,11RD,칠곡RDC
1408,KRD207,OAA,대구광역시,중구,11RD,칠곡RDC
1415,KRDEE0,PJA,경상북도,영천시,11RD,칠곡RDC
1417,KRDE00,OIA,경상북도,경산시,11RD,칠곡RDC
1421,KRDE00,OIA,경상북도,경산시,11RD,칠곡RDC
1424,KRD208,OKD,대구광역시,군위군,11RD,칠곡RDC
1440,KRDEA0,POA,경상북도,안동시,11RD,칠곡RDC
1457,KRDEA0,PCA,경상북도,안동시,11RD,칠곡RDC
1462,KRDE70,PBA,경상북도,봉화군,11R9,제천RDC
1467,KRDE70,PBA,경상북도,봉화군,11R9,제천RDC
1471,KRDED0,PAA,경상북도,영주시,11R9,제천RDC
1473,KRDEA0,PCA,경상북도,안동시,11RD,칠곡RDC
1476,KRDE60,OTA,경상북도,문경시,11RD,칠곡RDC
1478,KRDEK0,PFA,경상북도,청송군,11RD,칠곡RDC
1485,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1488,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1490,KRDG10,NFC,제주특별자치도,제주시,11RB,제주RDC
1492,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1496,KRDG00,NFF,제주특별자치도,서귀포시,11RB,제주RDC
1499,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1500,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1508,KRDG10,NFA,제주특별자치도,제주시,11RB,제주RDC
1514,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
1524,KRD108,LNA,부산광역시,사상구,11RD,칠곡RDC
1532,KRD107,LMA,부산광역시,북구,11RD,칠곡RDC
1534,KRDF30,LQA,경상남도,김해시,11RD,칠곡RDC
1536,KRD106,LLA,부산광역시,부산진구,11RD,칠곡RDC
1542,KRD108,LNA,부산광역시,사상구,11RD,칠곡RDC
1570,KRD10F,LJA,부산광역시,해운대구,11RD,칠곡RDC
1579,KRD105,LFA,부산광역시,동래구,11RD,칠곡RDC
1585,KRD603,NEA,울산광역시,울주군,11RD,칠곡RDC
1588,KRD10F,LJA,부산광역시,해운대구,11RD,칠곡RDC
1595,KRD101,LHA,부산광역시,금정구,11RD,칠곡RDC
1599,KRD102,LPA,부산광역시,기장군,11RD,칠곡RDC
1601,KRD106,LLA,부산광역시,부산진구,11RD,칠곡RDC
1624,KRDC00,KCA,전라북도,고창군,11RC,계룡RDC
1631,KRDC30,KDA,전라북도,남원시,11RC,계룡RDC
1657,KRDCA0,KGA,전라북도,장수군,11RC,계룡RDC
167,KRD850,HAA,경기도,구리시,11R2,평택RDC
1670,KRDCD0,JPA,전라북도,진안군,11RC,계룡RDC
1677,KRDCB0,JMA,전라북도,전주시 덕진구,11RC,계룡RDC
1689,KRDD60,IIA,전라남도,담양군,11RC,계룡RDC
1694,KRD400,IEA,광주광역시,광산구,11RC,계룡RDC
1703,KRD403,IAA,광주광역시,북구,11RC,계룡RDC
1726,KRD400,IEA,광주광역시,광산구,11RC,계룡RDC
1729,KRDD50,ILA,전라남도,나주시,11RC,계룡RDC
1736,KRDD50,ILA,전라남도,나주시,11RC,계룡RDC
174,KRD00O,AHA,서울특별시,중랑구,11R2,평택RDC
1750,KRDD90,JGA,전라남도,보성군,11RC,계룡RDC
1754,KRDDC0,JJA,전라남도,여수시,11RC,계룡RDC
1766,KRDDC0,JJA,전라남도,여수시,11RC,계룡RDC
1768,KRDDA0,JAA,전라남도,순천시,11RC,계룡RDC
1771,KRDDA0,JAA,전라남도,순천시,11RC,계룡RDC
1772,KRDD10,JHA,전라남도,고흥군,11RC,계룡RDC
1775,KRDD30,JFA,전라남도,광양시,11RC,계룡RDC
1777,KRDD30,JFA,전라남도,광양시,11RC,계룡RDC
