region_code,광역도시,시군구,현재_RDC,총수량,2월수량,11월수량,총수요_3.5T환산,2월수요_3.5T환산,11월수요_3.5T환산,shipment수,배송일수
DLA,충청남도,천안시 동남구,평택RDC,42599,17950,24649,246.7,104.1,142.6,415,49
OCA,대구광역시,북구,칠곡RDC,42433,23200,19233,222.6,123.7,98.9,340,52
EHA,충청북도,청주시 흥덕구,계룡RDC,40243,16003,23958,215.5,88.2,126.0,391,51
MHA,경상남도,창원시 마산회원구,칠곡RDC,39689,21147,18542,205.8,111.2,94.6,391,50
GKA,경기도,용인시 처인구,평택RDC,34811,13501,21310,203.7,80.0,123.7,514,50
GIA,경기도,화성시,평택RDC,32485,11317,21168,189.9,70.8,119.1,584,51
OEA,대구광역시,달서구,칠곡RDC,32390,15497,16893,184.1,90.2,93.8,255,51
GNA,경기도,안성시,평택RDC,32562,12144,20418,177.9,69.0,109.0,178,50
GMA,경기도,평택시,평택RDC,21871,9097,12774,167.8,76.3,91.5,479,50
CIA,강원도,원주시,제천RDC,31124,12753,17920,167.2,70.0,95.1,332,50
FJA,경기도,고양시 일산서구,평택RDC,31392,14611,16604,163.2,76.9,85.2,393,52
PNA,경상북도,포항시 남구,칠곡RDC,23555,11122,12431,145.1,70.2,74.8,230,53
IEA,광주광역시,광산구,계룡RDC,20436,8398,12022,143.4,66.6,76.4,305,51
MNA,경상남도,진주시,칠곡RDC,26148,13215,12918,136.2,68.8,67.3,268,51
HGA,경기도,양주시,평택RDC,22927,8827,14100,133.1,52.4,80.8,209,50
GFA,경기도,수원시 권선구,평택RDC,24763,10203,14560,132.9,54.1,78.8,389,50
LQA,경상남도,김해시,칠곡RDC,18610,9533,9033,125.7,66.5,59.0,207,51
AGA,서울특별시,동대문구,평택RDC,22321,9802,12519,123.3,55.0,68.3,198,51
ELA,충청북도,음성군,평택RDC,21199,10337,10772,121.7,58.3,63.1,226,51
FEA,인천광역시,서구,평택RDC,18952,8062,10852,119.7,53.5,66.0,283,52
GTA,경기도,하남시,평택RDC,22197,10210,11987,118.9,54.9,64.0,315,51
HBA,경기도,남양주시,평택RDC,17754,6717,11037,108.6,40.9,67.7,381,49
FTA,경기도,안산시 단원구,평택RDC,19101,8770,10277,106.6,48.6,57.7,200,50
JMA,전라북도,전주시 덕진구,계룡RDC,18638,7187,11451,104.8,41.9,62.9,246,50
GEA,경기도,의왕시,평택RDC,8073,3436,4229,100.1,46.9,49.2,131,48
AVA,서울특별시,구로구,평택RDC,17460,6622,10838,96.3,36.5,59.7,200,50
JNA,전라북도,완주군,계룡RDC,15836,3999,11837,87.7,22.6,65.1,182,50
ANA,서울특별시,서초구,평택RDC,14961,5948,9013,86.5,33.7,52.8,256,50
FVA,경기도,시흥시,평택RDC,15281,5522,9739,85.4,32.0,53.3,290,51
NFA,제주특별자치도,제주시,제주RDC,13817,5549,7825,84.6,34.6,46.9,453,50
FAA,인천광역시,중구,평택RDC,5106,2282,2602,83.6,38.4,40.8,106,49
OOA,경상북도,구미시,칠곡RDC,14361,6352,8009,81.7,35.9,45.8,205,49
HKA,경기도,포천시,평택RDC,9470,3359,6111,81.3,30.5,50.8,190,49
FDA,인천광역시,부평구,평택RDC,15078,6752,8326,77.9,36.1,41.9,192,49
DAA,대전광역시,동구,계룡RDC,16832,5335,11497,76.8,25.3,51.5,222,50
DOA,충청남도,아산시,평택RDC,12931,4182,8749,75.1,25.5,49.6,196,49
DCA,대전광역시,서구,계룡RDC,13842,6082,7760,71.6,31.5,40.1,238,49
AOA,서울특별시,송파구,평택RDC,12955,5439,7512,71.1,30.2,40.9,218,51
GSA,경기도,광주시,평택RDC,13074,5045,8029,69.7,28.2,41.5,244,50
CCA,강원도,강릉시,제천RDC,12009,5839,6170,69.4,33.8,35.6,224,50
FLA,경기도,파주시,평택RDC,10690,4311,6379,68.8,29.2,39.6,166,49
FNA,경기도,김포시,평택RDC,10885,4451,6434,68.3,29.2,39.1,272,50
ATA,서울특별시,영등포구,평택RDC,13063,6620,6443,67.4,34.3,33.2,188,48
IAA,광주광역시,북구,계룡RDC,11011,3749,7258,65.1,23.3,41.8,198,50
