배송지코드,광역도시,시군구
3,경상남도,거제시
8,부산광역시,기장군
AAA,서울특별시,중구
ABA,서울특별시,종로구
ABB,충청남도,계룡시
ABD,전라남도,강진군
ABF,충청북도,증평군
ADA,서울특별시,서대문구
ADC,전라남도,구례군
AEA,서울특별시,마포구
AFA,서울특별시,은평구
AGA,서울특별시,동대문구
AHA,서울특별시,중랑구
AIA,서울특별시,도봉구
AJA,서울특별시,성동구
AKA,서울특별시,강동구
ALA,경기도,성남시 분당구
ALA,서울특별시,강남구
AMA,서울특별시,성북구
ANA,서울특별시,서초구
AOA,서울특별시,강남구
AOA,서울특별시,송파구
AOM,대구광역시,동구
APA,서울특별시,노원구
AQA,서울특별시,용산구
ARA,서울특별시,강북구
ASA,서울특별시,광진구
ATA,서울특별시,영등포구
AUA,서울특별시,관악구
AUA,서울특별시,동작구
AVA,서울특별시,구로구
AWA,서울특별시,금천구
AXA,서울특별시,동작구
BAA,서울특별시,강서구
BBA,경기도,시흥시
BBA,서울특별시,양천구
C51,전라남도,장성군
C55,경상북도,경산시
C61,대전광역시,대덕구
C73,제주특별자치도,제주시
C75,대구광역시,북구
C83,대구광역시,북구
C84,경상북도,울릉군
C84,경상북도,포항시 남구
C86,전라남도,순천시
CAA,강원도,춘천시
CBA,강원도,화천군
CCA,강원도,강릉시
CEA,강원도,양양군
CFA,강원도,속초시
CFA,강원도,평창군
CGB,강원도,고성군
CIA,강원도,원주시
CKA,강원도,횡성군
CLA,강원도,영월군
CMA,강원도,속초시
CMA,강원도,평창군
CMB,강원도,평창군
CNA,강원도,정선군
COA,강원도,태백시
CPA,강원도,동해시
CQA,강원도,삼척시
CSA,강원도,홍천군
CTA,강원도,인제군
CUA,강원도,양구군
CVA,강원도,철원군
DAA,대전광역시,동구
DAA,대전광역시,유성구
DBA,대전광역시,중구
DCA,대전광역시,서구
DCA,대전광역시,중구
DCG,대전광역시,서구
DDA,대전광역시,유성구
DDB,대전광역시,유성구
DDC,대전광역시,유성구
DEA,광주광역시,광산구
DEA,대전광역시,대덕구
DEF,대전광역시,대덕구
DFA,충청남도,금산군
DFE,충청남도,금산군
DGA,충청남도,공주시
DIA,충청남도,논산시
DIB,충청남도,논산시
DJA,충청남도,부여군
DKA,충청남도,서천군
DLA,충청남도,천안시 동남구
DLA,충청남도,천안시 서북구
DOA,충청남도,아산시
