rdc_name,distance_range,truck_type,price
계룡RDC,1~10 km,11T,111200
계룡RDC,1~10 km,1T,45800
계룡RDC,1~10 km,3.5T,57200
계룡RDC,1~10 km,5T,85500
계룡RDC,1~10 km,8T,102600
계룡RDC,11~20 km,11T,118800
계룡RDC,11~20 km,1T,49200
계룡RDC,11~20 km,3.5T,61600
계룡RDC,11~20 km,5T,91400
계룡RDC,11~20 km,8T,109700
계룡RDC,21~30 km,11T,153900
계룡RDC,21~30 km,1T,64300
계룡RDC,21~30 km,3.5T,79900
계룡RDC,21~30 km,5T,118400
계룡RDC,21~30 km,8T,142100
계룡RDC,31~40 km,11T,165100
계룡RDC,31~40 km,1T,69100
계룡RDC,31~40 km,3.5T,86400
계룡RDC,31~40 km,5T,127000
계룡RDC,31~40 km,8T,152400
계룡RDC,41~50 km,11T,176200
계룡RDC,41~50 km,1T,74900
계룡RDC,41~50 km,3.5T,93700
계룡RDC,41~50 km,5T,135500
계룡RDC,41~50 km,8T,162600
계룡RDC,51~60 km,11T,188500
계룡RDC,51~60 km,1T,80800
계룡RDC,51~60 km,3.5T,100900
계룡RDC,51~60 km,5T,145000
계룡RDC,51~60 km,8T,174000
계룡RDC,61~70 km,11T,201600
계룡RDC,61~70 km,1T,87400
계룡RDC,61~70 km,3.5T,109200
계룡RDC,61~70 km,5T,155100
계룡RDC,61~70 km,8T,186100
계룡RDC,71~80 km,11T,215300
계룡RDC,71~80 km,1T,94500
계룡RDC,71~80 km,3.5T,118200
계룡RDC,71~80 km,5T,165600
계룡RDC,71~80 km,8T,198700
계룡RDC,81~90 km,11T,230800
계룡RDC,81~90 km,1T,102300
계룡RDC,81~90 km,3.5T,127800
계룡RDC,81~90 km,5T,177500
계룡RDC,81~90 km,8T,213000
계룡RDC,91~100 km,11T,246600
계룡RDC,91~100 km,1T,110600
계룡RDC,91~100 km,3.5T,138200
계룡RDC,91~100 km,5T,189700
계룡RDC,91~100 km,8T,227600
계룡RDC,101~120 km,11T,267400
계룡RDC,101~120 km,1T,122600
계룡RDC,101~120 km,3.5T,153500
계룡RDC,101~120 km,5T,205700
계룡RDC,101~120 km,8T,246800
계룡RDC,121~140 km,11T,290300
계룡RDC,121~140 km,1T,136100
계룡RDC,121~140 km,3.5T,170100
계룡RDC,121~140 km,5T,223300
계룡RDC,121~140 km,8T,268000
계룡RDC,141~160 km,11T,315400
계룡RDC,141~160 km,1T,151100
