Ship-to party,Region Code,sub_region_code,광역도시,시군구,담당 RDC 코드,담당 RDC 명
10606,EOA,CCB_BO,충청북도,보은군,11RC,계룡RDC
856,EOA,CCB_BO,충청북도,보은군,11RC,계룡RDC
KP11617,EOA,CCB_BO,충청북도,보은군,11RC,계룡RDC
10131,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
10181,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
1923,EHA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
3001092,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
3008699,ELA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
3014486,EHA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
3019680,EHA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KH02148,EGA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP12495,EGA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP12783,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP12853,EGA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP12927,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP13003,EGA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP13081,EGA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
KP13273,EIA,CCB_CJCO,충청북도,청주시 청원구,11RC,계룡RDC
10282,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
10604,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
1909,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
1912,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
3001383,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
7853,EIA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
837,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
9933,EIA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KH10060,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KH10564,EIA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KH10693,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KH10808,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KH11105,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP11568,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP11934,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP11943,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP12429,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP12615,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP12842,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP12871,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP12877,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP13439,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP13462,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
KP13757,EHA,CCB_CJHD,충청북도,청주시 흥덕구,11RC,계룡RDC
