rdc_code,rdc_name,sub_region_code,sigungu_name,duration_min,distance_km,duration_rank,distance_rank
11RC,계룡RDC,GWO_GR,강원도 강릉시,227.4,295.4,3,3
11RC,계룡RDC,GWO_GS,강원도 고성군,288.5,360.4,3,3
11RC,계룡RDC,GWO_DH,강원도 동해시,252.1,330.8,4,4
11RC,계룡RDC,GWO_SC,강원도 삼척시,253.8,308.3,4,4
11RC,계룡RDC,GWO_SC2,강원도 속초시,263.0,331.7,3,3
11RC,계룡RDC,GWO_O,강원도 양구군,226.8,291.3,3,3
11RC,계룡RDC,GWO_OO,강원도 양양군,245.0,315.6,3,3
11RC,계룡RDC,GWO_OO2,강원도 영월군,159.8,200.2,3,3
11RC,계룡RDC,GWO_OJ,강원도 원주시,138.0,179.6,3,3
11RC,계룡RDC,GWO_OJ2,강원도 인제군,223.0,279.7,3,3
11RC,계룡RDC,GWO_JS,강원도 정선군,199.9,236.3,3,4
11RC,계룡RDC,GWO_CO,강원도 철원군,194.1,250.9,3,3
11RC,계룡RDC,GWO_CC,강원도 춘천시,189.5,249.7,3,3
11RC,계룡RDC,GWO_TB,강원도 태백시,207.2,263.8,4,5
11RC,계룡RDC,GWO_PC,강원도 평창군,182.6,218.8,3,3
11RC,계룡RDC,GWO_HC,강원도 홍천군,173.7,227.7,3,3
11RC,계룡RDC,GWO_HC2,강원도 화천군,217.4,280.5,3,3
11RC,계룡RDC,GWO_HS,강원도 횡성군,148.6,195.2,3,3
11RC,계룡RDC,GGI_GP,경기도 가평군,171.7,221.6,3,3
11RC,계룡RDC,GGI_GODO,경기도 고양시 덕양구,151.3,187.8,3,3
11RC,계룡RDC,GGI_GOOSD,경기도 고양시 일산동구,154.3,191.8,3,3
11RC,계룡RDC,GGI_GOOSS,경기도 고양시 일산서구,158.0,196.2,3,3
11RC,계룡RDC,GGI_GC,경기도 과천시,125.0,163.1,3,3
11RC,계룡RDC,GGI_GM,경기도 광명시,134.8,172.2,3,3
11RC,계룡RDC,GGI_GJ,경기도 광주시,115.2,157.8,3,3
11RC,계룡RDC,GGI_GR,경기도 구리시,132.2,179.8,3,3
11RC,계룡RDC,GGI_GP2,경기도 군포시,122.6,148.9,3,3
11RC,계룡RDC,GGI_GP3,경기도 김포시,155.2,193.2,3,3
11RC,계룡RDC,GGI_NOJ,경기도 남양주시,137.8,183.7,3,3
11RC,계룡RDC,GGI_DDC,경기도 동두천시,165.7,216.3,3,3
11RC,계룡RDC,GGI_BCSS,경기도 부천시 소사구,139.6,170.8,3,3
11RC,계룡RDC,GGI_BCOJ,경기도 부천시 오정구,147.4,181.7,3,3
11RC,계룡RDC,GGI_BCOM,경기도 부천시 원미구,141.8,172.6,3,3
11RC,계룡RDC,GGI_SNBD,경기도 성남시 분당구,114.6,147.5,3,3
11RC,계룡RDC,GGI_SNSJ,경기도 성남시 수정구,119.8,154.8,3,3
11RC,계룡RDC,GGI_SNJO,경기도 성남시 중원구,116.8,152.0,3,3
11RC,계룡RDC,GGI_SOGS,경기도 수원시 권선구,110.9,136.7,3,2
11RC,계룡RDC,GGI_SOOT,경기도 수원시 영통구,107.5,133.2,3,3
11RC,계룡RDC,GGI_SOJO,경기도 수원시 장안구,111.5,138.0,3,3
11RC,계룡RDC,GGI_SOPD,경기도 수원시 팔달구,110.2,135.8,3,3
11RC,계룡RDC,GGI_SH,경기도 시흥시,131.7,163.1,3,3
11RC,계룡RDC,GGI_OSDO,경기도 안산시 단원구,125.7,153.0,3,3
