sub_region_code,sigungu_name,total_qty,shipment_count,demand_3_5t,demand_5t,daily_demand_3_5t,daily_demand_5t,delivery_days
DAE_B,대구광역시 북구,44679,352,223.7,142.5,4.3,2.7,52
GGI_HS,경기도 화성시,41832,485,186.0,119.0,3.8,2.4,49
GGI_OS,경기도 안성시,33661,182,178.4,111.8,3.6,2.3,49
CCN_CODN,충청남도 천안시 동남구,34814,301,177.2,112.6,3.6,2.3,49
GGI_PT,경기도 평택시,27368,537,176.4,112.2,3.6,2.3,49
GWO_OJ,강원도 원주시,36868,332,167.2,106.3,3.4,2.2,49
CCB_CJSO,충청북도 청주시 서원구,28607,250,145.6,92.5,3.0,1.9,49
DAE_DS,대구광역시 달서구,29341,226,144.6,91.9,2.8,1.8,51
GWJ_GS,광주광역시 광산구,25268,281,144.5,91.9,2.9,1.9,49
GGI_OJ,경기도 양주시,24403,212,133.1,84.9,2.7,1.7,49
GSN_GH,경상남도 김해시,24361,211,128.2,82.3,2.6,1.6,50
SEO_DDM,서울특별시 동대문구,23449,198,123.3,78.5,2.5,1.6,49
GSN_JJ,경상남도 진주시,29237,222,122.1,78.1,2.4,1.6,50
CCB_OS,충청북도 음성군,23442,222,121.4,77.5,2.5,1.6,49
ICN_S,인천광역시 서구,25492,299,121.2,77.0,2.5,1.6,49
GGI_HN,경기도 하남시,26071,315,118.9,75.5,2.4,1.5,49
GGI_OOCO,경기도 용인시 처인구,21220,296,109.0,69.1,2.2,1.4,49
GGI_NOJ,경기도 남양주시,23064,381,108.6,70.1,2.2,1.4,49
ICN_J,인천광역시 중구,8726,189,101.4,66.8,2.1,1.4,48
GGI_OO,경기도 의왕시,8622,131,100.1,64.7,2.1,1.4,47
SEO_GR,서울특별시 구로구,19181,201,96.3,61.1,2.0,1.2,49
GSB_PHB,경상북도 포항시 북구,24442,184,94.1,59.6,1.9,1.2,50
GGI_OOGH,경기도 용인시 기흥구,19796,246,93.6,59.3,1.9,1.2,49
JLB_OJ,전라북도 완주군,17002,183,87.7,56.0,1.8,1.1,49
GGI_SH,경기도 시흥시,19585,294,86.5,55.0,1.8,1.1,49
SEO_SC,서울특별시 서초구,19502,256,86.5,55.1,1.8,1.1,49
GGI_PC,경기도 포천시,10531,190,81.3,51.0,1.7,1.0,49
GSB_PHN,경상북도 포항시 남구,12531,190,80.6,52.9,1.6,1.1,49
DJN_DD,대전광역시 대덕구,17766,199,79.6,51.0,1.6,1.0,49
GSB_GM,경상북도 구미시,18081,202,79.3,50.2,1.6,1.0,49
GSN_COMSHP,경상남도 창원시 마산합포구,18814,160,78.5,50.2,1.6,1.0,49
ICN_BP,인천광역시 부평구,19180,193,77.9,49.3,1.6,1.0,49
DJN_D,대전광역시 동구,17237,208,76.4,48.3,1.6,1.0,49
GSB_OD,경상북도 안동시,18379,125,76.0,48.7,1.5,1.0,50
DJN_S,대전광역시 서구,20691,241,75.3,47.7,1.5,1.0,49
CCN_OS,충청남도 아산시,15198,196,75.1,47.5,1.6,1.0,48
GGI_OSSR,경기도 안산시 상록구,15212,150,74.2,46.9,1.5,1.0,49
GGI_SOGS,경기도 수원시 권선구,17328,256,73.7,46.8,1.5,1.0,49
JLB_JJDJ,전라북도 전주시 덕진구,19216,199,73.1,46.3,1.5,0.9,49
SEO_SP,서울특별시 송파구,17774,218,70.7,45.1,1.4,0.9,49
GGI_GJ,경기도 광주시,17092,246,69.7,43.6,1.4,0.9,49
CCN_COSB,충청남도 천안시 서북구,14682,223,69.5,44.1,1.4,0.9,48
GWO_GR,강원도 강릉시,14798,225,69.4,44.2,1.4,0.9,49
GGI_PJ,경기도 파주시,13486,167,68.8,43.6,1.4,0.9,49
SEO_ODP,서울특별시 영등포구,15957,189,67.4,42.8,1.4,0.9,48
